Time [sec]	Time (UTC)	P [hPa]	T [°C]	Hu [%]	Ws [m/s]	Wd [°]	Ws U [m/s]	Ws V [m/s]	Geopot [m]	Dew [°C]
1632      	09:23:41  	267.2  	-36.1 	52    	3.1     	243   	2.8       	1.4       	10551     	-41.9
1634      	09:23:43  	266.6  	-36.2 	52    	3.0     	240   	2.6       	1.5       	10567     	-42.0
1636      	09:23:45  	266.1  	-36.4 	52    	2.8     	235   	2.3       	1.6       	10581     	-42.1
1638      	09:23:47  	265.5  	-36.5 	52    	2.6     	230   	2.0       	1.7       	10595     	-42.2
1640      	09:23:49  	264.9  	-36.6 	52    	2.4     	224   	1.7       	1.7       	10608     	-42.3
1642      	09:23:51  	264.4  	-36.7 	53    	2.2     	219   	1.4       	1.7       	10623     	-42.4
1644      	09:23:53  	263.8  	-36.8 	53    	2.2     	213   	1.2       	1.8       	10639     	-42.5
1646      	09:23:55  	263.3  	-36.9 	53    	2.1     	208   	1.0       	1.9       	10655     	-42.5
1648      	09:23:57  	262.7  	-37.0 	53    	2.1     	208   	1.0       	1.9       	10669     	-42.6
1650      	09:23:59  	262.1  	-37.2 	54    	2.0     	209   	1.0       	1.8       	10683     	-42.7
1652      	09:24:01  	261.6  	-37.3 	54    	2.0     	211   	1.0       	1.7       	10697     	-42.7
1654      	09:24:03  	261.2  	-37.4 	54    	2.0     	214   	1.1       	1.7       	10709     	-42.9
1656      	09:24:05  	260.7  	-37.5 	53    	2.1     	220   	1.3       	1.6       	10722     	-43.1
1658      	09:24:07  	260.2  	-37.6 	53    	2.1     	226   	1.5       	1.5       	10735     	-43.2
1660      	09:24:09  	259.7  	-37.7 	53    	2.3     	230   	1.7       	1.5       	10748     	-43.3
1662      	09:24:11  	259.2  	-37.9 	53    	2.4     	229   	1.8       	1.6       	10761     	-43.4
1664      	09:24:13  	258.7  	-38.0 	53    	2.6     	228   	1.9       	1.7       	10774     	-43.5
1666      	09:24:15  	258.2  	-38.1 	53    	2.8     	228   	2.1       	1.9       	10786     	-43.6
1668      	09:24:17  	257.8  	-38.2 	53    	2.8     	224   	1.9       	2.0       	10799     	-43.7
1670      	09:24:19  	257.2  	-38.3 	53    	2.9     	219   	1.8       	2.2       	10812     	-43.8
1672      	09:24:21  	256.7  	-38.4 	53    	3.0     	215   	1.7       	2.4       	10827     	-44.0
1674      	09:24:23  	256.2  	-38.6 	53    	3.2     	211   	1.6       	2.8       	10841     	-44.1
1676      	09:24:25  	255.6  	-38.7 	53    	3.4     	208   	1.6       	3.0       	10858     	-44.3
1678      	09:24:27  	255.0  	-38.8 	52    	3.6     	204   	1.5       	3.3       	10874     	-44.4
1680      	09:24:29  	254.4  	-38.9 	52    	3.8     	202   	1.4       	3.5       	10890     	-44.5
1682      	09:24:31  	253.9  	-39.0 	53    	3.9     	203   	1.5       	3.6       	10903     	-44.6
1684      	09:24:33  	253.4  	-39.2 	53    	3.9     	203   	1.5       	3.6       	10915     	-44.7
1686      	09:24:35  	253.0  	-39.3 	53    	4.1     	201   	1.5       	3.8       	10927     	-44.8
1688      	09:24:37  	252.5  	-39.4 	53    	4.4     	199   	1.4       	4.2       	10940     	-44.9
1690      	09:24:39  	252.0  	-39.5 	53    	4.8     	198   	1.4       	4.6       	10953     	-45.1
1692      	09:24:41  	251.5  	-39.6 	52    	5.1     	196   	1.4       	4.9       	10967     	-45.2
1694      	09:24:43  	250.9  	-39.8 	52    	5.5     	194   	1.3       	5.3       	10983     	-45.4
1696      	09:24:45  	250.4  	-39.9 	52    	5.7     	192   	1.2       	5.6       	10999     	-45.5
1698      	09:24:47  	249.8  	-40.0 	52    	6.1     	191   	1.1       	6.0       	11014     	-45.6
1700      	09:24:49  	249.3  	-40.1 	52    	6.3     	190   	1.1       	6.2       	11028     	-45.7
1702      	09:24:51  	248.8  	-40.2 	53    	6.5     	189   	1.0       	6.4       	11041     	-45.7
1704      	09:24:53  	248.3  	-40.4 	53    	6.7     	188   	0.9       	6.6       	11054     	-45.8
1706      	09:24:55  	247.9  	-40.5 	53    	6.9     	187   	0.8       	6.9       	11066     	-45.9
1708      	09:24:57  	247.4  	-40.6 	53    	6.8     	187   	0.8       	6.7       	11078     	-46.1
1710      	09:24:59  	247.0  	-40.8 	53    	6.7     	187   	0.8       	6.7       	11091     	-46.2
1712      	09:25:01  	246.4  	-40.9 	53    	6.6     	189   	1.0       	6.5       	11105     	-46.3
1714      	09:25:03  	245.9  	-41.0 	52    	6.5     	192   	1.4       	6.3       	11120     	-46.5
1716      	09:25:05  	245.4  	-41.1 	52    	6.4     	196   	1.8       	6.1       	11136     	-46.7
1718      	09:25:07  	244.8  	-41.3 	52    	6.3     	200   	2.1       	5.9       	11152     	-46.9
1720      	09:25:09  	244.2  	-41.4 	52    	6.4     	204   	2.6       	5.9       	11169     	-47.0
1722      	09:25:11  	243.6  	-41.5 	52    	6.5     	207   	3.0       	5.8       	11186     	-47.1
1724      	09:25:13  	243.0  	-41.6 	52    	6.6     	211   	3.4       	5.7       	11204     	-47.2
1726      	09:25:15  	242.4  	-41.8 	52    	6.8     	215   	3.9       	5.6       	11221     	-47.4
1728      	09:25:17  	241.8  	-41.9 	52    	7.1     	220   	4.6       	5.4       	11236     	-47.5
1730      	09:25:19  	241.3  	-42.0 	52    	7.5     	225   	5.3       	5.3       	11249     	-47.7
1732      	09:25:21  	240.8  	-42.2 	51    	7.7     	227   	5.6       	5.2       	11262     	-47.8
1734      	09:25:23  	240.3  	-42.3 	51    	7.9     	229   	5.9       	5.2       	11278     	-48.0
1736      	09:25:25  	239.7  	-42.5 	52    	8.1     	230   	6.2       	5.2       	11295     	-48.1
1738      	09:25:27  	239.1  	-42.6 	52    	8.2     	231   	6.4       	5.1       	11311     	-48.2
1740      	09:25:29  	238.6  	-42.8 	51    	8.2     	232   	6.4       	5.1       	11326     	-48.4
1742      	09:25:31  	238.0  	-42.9 	52    	8.3     	232   	6.6       	5.1       	11341     	-48.5
1744      	09:25:33  	237.5  	-43.0 	52    	8.3     	233   	6.6       	5.0       	11356     	-48.6
1746      	09:25:35  	237.0  	-43.2 	52    	8.1     	233   	6.4       	4.9       	11371     	-48.6
1748      	09:25:37  	236.5  	-43.3 	52    	8.0     	232   	6.3       	4.9       	11386     	-48.7
1750      	09:25:39  	235.9  	-43.5 	52    	7.8     	231   	6.1       	4.9       	11401     	-48.9
1752      	09:25:41  	235.4  	-43.6 	52    	7.7     	230   	5.9       	4.9       	11416     	-49.0
1754      	09:25:43  	234.7  	-43.7 	52    	7.5     	229   	5.7       	4.9       	11433     	-49.1
1756      	09:25:45  	234.1  	-43.9 	52    	7.5     	228   	5.6       	5.0       	11452     	-49.3
1758      	09:25:47  	233.5  	-44.0 	53    	7.4     	227   	5.4       	5.0       	11471     	-49.4
1760      	09:25:49  	233.0  	-44.2 	53    	7.5     	227   	5.5       	5.1       	11487     	-49.5
1762      	09:25:51  	232.5  	-44.3 	53    	7.6     	227   	5.5       	5.2       	11501     	-49.6
1764      	09:25:53  	232.0  	-44.4 	52    	7.7     	226   	5.6       	5.3       	11514     	-49.8
1766      	09:25:55  	231.5  	-44.6 	52    	7.7     	227   	5.7       	5.2       	11528     	-49.9
1768      	09:25:57  	231.0  	-44.7 	53    	7.7     	229   	5.8       	5.0       	11541     	-50.0
1770      	09:25:59  	230.6  	-44.8 	53    	7.8     	232   	6.1       	4.9       	11555     	-50.1
1772      	09:26:01  	230.1  	-44.9 	53    	7.8     	233   	6.2       	4.7       	11570     	-50.2
1774      	09:26:03  	229.6  	-45.1 	53    	7.8     	235   	6.4       	4.4       	11584     	-50.4
1776      	09:26:05  	229.1  	-45.2 	52    	7.7     	238   	6.5       	4.1       	11599     	-50.5
1778      	09:26:07  	228.6  	-45.3 	52    	7.8     	240   	6.7       	3.9       	11613     	-50.7
1780      	09:26:09  	228.1  	-45.4 	52    	7.9     	241   	6.9       	3.8       	11627     	-50.8
1782      	09:26:11  	227.6  	-45.5 	51    	8.1     	243   	7.2       	3.7       	11642     	-51.0
1784      	09:26:13  	227.0  	-45.7 	51    	8.3     	244   	7.5       	3.7       	11659     	-51.2
1786      	09:26:15  	226.4  	-45.8 	51    	8.5     	244   	7.6       	3.7       	11676     	-51.4
1788      	09:26:17  	225.8  	-45.9 	51    	8.7     	243   	7.8       	3.9       	11694     	-51.4
1790      	09:26:19  	225.2  	-46.1 	52    	8.7     	243   	7.7       	4.0       	11712     	-51.4
1792      	09:26:21  	224.7  	-46.2 	53    	8.7     	243   	7.7       	4.0       	11729     	-51.4
1794      	09:26:23  	224.1  	-46.3 	53    	8.8     	242   	7.8       	4.1       	11744     	-51.5
1796      	09:26:25  	223.6  	-46.5 	53    	8.8     	243   	7.8       	4.1       	11759     	-51.6
1798      	09:26:27  	223.0  	-46.6 	53    	8.8     	243   	7.8       	4.1       	11774     	-51.8
1800      	09:26:29  	222.5  	-46.7 	53    	8.7     	243   	7.7       	4.0       	11792     	-51.9
1802      	09:26:31  	221.9  	-46.8 	53    	8.6     	244   	7.7       	3.8       	11811     	-52.1
1804      	09:26:33  	221.3  	-46.9 	52    	8.4     	243   	7.5       	3.9       	11830     	-52.2
1806      	09:26:35  	220.7  	-47.1 	52    	8.1     	240   	7.0       	4.1       	11847     	-52.3
1808      	09:26:37  	220.1  	-47.2 	52    	7.9     	237   	6.7       	4.3       	11864     	-52.5
1810      	09:26:39  	219.6  	-47.3 	52    	7.9     	234   	6.4       	4.6       	11881     	-52.6
1812      	09:26:41  	219.1  	-47.5 	52    	7.8     	231   	6.1       	4.9       	11895     	-52.7
1814      	09:26:43  	218.6  	-47.6 	53    	7.8     	227   	5.7       	5.3       	11908     	-52.7
1816      	09:26:45  	218.2  	-47.7 	53    	7.9     	225   	5.5       	5.6       	11921     	-52.8
1818      	09:26:47  	217.7  	-47.9 	54    	7.8     	222   	5.2       	5.8       	11935     	-52.9
1820      	09:26:49  	217.3  	-48.0 	54    	7.8     	219   	4.9       	6.1       	11950     	-53.0
1822      	09:26:51  	216.8  	-48.1 	54    	7.8     	216   	4.6       	6.3       	11964     	-53.1
1824      	09:26:53  	216.3  	-48.3 	54    	7.7     	216   	4.5       	6.3       	11979     	-53.2
1826      	09:26:55  	215.7  	-48.4 	54    	7.6     	216   	4.5       	6.2       	11994     	-53.3
1828      	09:26:57  	215.2  	-48.5 	54    	7.5     	217   	4.5       	6.0       	12011     	-53.5
1830      	09:26:59  	214.7  	-48.7 	53    	7.6     	218   	4.7       	6.0       	12029     	-53.7
1832      	09:27:01  	214.1  	-48.8 	53    	7.9     	220   	5.1       	6.1       	12047     	-53.9
1834      	09:27:03  	213.5  	-48.9 	52    	8.3     	222   	5.5       	6.2       	12065     	-54.1
1836      	09:27:05  	212.9  	-49.1 	52    	8.7     	223   	6.0       	6.3       	12082     	-54.3
1838      	09:27:07  	212.4  	-49.2 	52    	9.2     	224   	6.4       	6.6       	12100     	-54.5
1840      	09:27:09  	211.9  	-49.3 	52    	9.6     	225   	6.8       	6.8       	12115     	-54.6
1842      	09:27:11  	211.4  	-49.5 	52    	10.1    	225   	7.2       	7.1       	12130     	-54.7
1844      	09:27:13  	210.8  	-49.6 	52    	10.6    	227   	7.8       	7.2       	12145     	-54.8
1846      	09:27:15  	210.3  	-49.7 	52    	11.0    	229   	8.3       	7.2       	12163     	-54.9
1848      	09:27:17  	209.8  	-49.8 	52    	11.6    	231   	9.0       	7.3       	12180     	-55.0
1850      	09:27:19  	209.3  	-50.0 	52    	11.8    	232   	9.3       	7.2       	12196     	-55.1
1852      	09:27:21  	208.8  	-50.1 	52    	11.9    	234   	9.6       	7.1       	12210     	-55.2
1854      	09:27:23  	208.3  	-50.2 	52    	11.9    	235   	9.7       	6.8       	12225     	-55.3
1856      	09:27:25  	207.8  	-50.3 	52    	11.9    	236   	9.9       	6.7       	12241     	-55.4
1858      	09:27:27  	207.2  	-50.4 	53    	11.7    	237   	9.8       	6.4       	12258     	-55.5
1860      	09:27:29  	206.7  	-50.6 	53    	11.4    	238   	9.6       	6.1       	12276     	-55.5
1862      	09:27:31  	206.1  	-50.7 	54    	11.2    	239   	9.6       	5.8       	12294     	-55.6
1864      	09:27:33  	205.5  	-50.8 	54    	11.0    	239   	9.4       	5.7       	12312     	-55.7
1866      	09:27:35  	205.0  	-50.9 	54    	10.8    	238   	9.2       	5.7       	12331     	-55.8
1868      	09:27:37  	204.4  	-51.0 	54    	10.6    	238   	9.0       	5.6       	12349     	-55.8
1870      	09:27:39  	203.9  	-51.2 	55    	10.2    	237   	8.6       	5.6       	12365     	-55.9
1872      	09:27:41  	203.4  	-51.3 	55    	9.8     	236   	8.1       	5.5       	12382     	-55.9
1874      	09:27:43  	202.9  	-51.4 	55    	9.4     	235   	7.7       	5.4       	12397     	-56.0
1876      	09:27:45  	202.5  	-51.5 	56    	9.1     	234   	7.3       	5.4       	12411     	-56.1
1878      	09:27:47  	202.0  	-51.7 	56    	9.0     	233   	7.2       	5.4       	12426     	-56.2
1880      	09:27:49  	201.5  	-51.8 	56    	8.8     	232   	7.0       	5.4       	12440     	-56.3
1882      	09:27:51  	201.1  	-52.0 	56    	8.9     	232   	7.0       	5.5       	12455     	-56.5
1884      	09:27:53  	200.6  	-52.1 	56    	9.0     	231   	7.0       	5.6       	12470     	-56.7
1886      	09:27:55  	200.1  	-52.2 	55    	9.1     	231   	7.1       	5.7       	12488     	-56.9
1888      	09:27:57  	199.5  	-52.4 	55    	9.3     	230   	7.2       	5.9       	12506     	-57.1
1890      	09:27:59  	199.0  	-52.5 	54    	9.5     	231   	7.4       	6.0       	12524     	-57.3
1892      	09:28:01  	198.4  	-52.7 	53    	9.8     	231   	7.6       	6.1       	12541     	-57.6
1894      	09:28:03  	197.9  	-52.8 	52    	10.1    	231   	7.9       	6.3       	12557     	-57.8
1896      	09:28:05  	197.4  	-52.9 	51    	10.4    	232   	8.2       	6.4       	12574     	-58.1
1898      	09:28:07  	196.9  	-53.1 	52    	10.9    	233   	8.7       	6.6       	12592     	-58.1
1900      	09:28:09  	196.3  	-53.3 	52    	11.2    	233   	9.0       	6.7       	12609     	-58.3
1902      	09:28:11  	195.8  	-53.4 	52    	11.5    	234   	9.2       	6.8       	12627     	-58.4
1904      	09:28:13  	195.3  	-53.5 	52    	11.6    	234   	9.4       	6.8       	12645     	-58.5
1906      	09:28:15  	194.7  	-53.7 	52    	11.8    	234   	9.6       	6.9       	12663     	-58.6
1908      	09:28:17  	194.2  	-53.8 	52    	11.8    	234   	9.6       	6.9       	12681     	-58.7
1910      	09:28:19  	193.7  	-53.9 	53    	11.7    	234   	9.5       	6.9       	12697     	-58.8
1912      	09:28:21  	193.2  	-54.1 	53    	11.7    	233   	9.4       	7.0       	12712     	-58.9
1914      	09:28:23  	192.7  	-54.2 	53    	11.6    	233   	9.3       	6.9       	12728     	-59.0
1916      	09:28:25  	192.3  	-54.4 	54    	11.4    	233   	9.1       	6.9       	12742     	-59.1
1918      	09:28:27  	191.9  	-54.5 	54    	11.2    	232   	8.9       	6.8       	12756     	-59.2
1920      	09:28:29  	191.5  	-54.7 	54    	11.0    	232   	8.6       	6.8       	12770     	-59.3
1922      	09:28:31  	191.1  	-54.8 	54    	10.9    	231   	8.5       	6.8       	12783     	-59.4
1924      	09:28:33  	190.6  	-54.9 	54    	10.7    	231   	8.3       	6.7       	12797     	-59.6
1926      	09:28:35  	190.2  	-55.1 	54    	10.6    	231   	8.2       	6.7       	12812     	-59.8
1928      	09:28:37  	189.7  	-55.2 	53    	10.6    	231   	8.2       	6.7       	12830     	-59.9
1930      	09:28:39  	189.2  	-55.4 	53    	10.7    	231   	8.4       	6.7       	12848     	-60.1
1932      	09:28:41  	188.6  	-55.5 	53    	10.8    	232   	8.5       	6.7       	12865     	-60.2
1934      	09:28:43  	188.2  	-55.7 	53    	10.8    	232   	8.5       	6.6       	12882     	-60.4
1936      	09:28:45  	187.7  	-55.8 	54    	10.3    	233   	8.2       	6.2       	12899     	-60.4
1938      	09:28:47  	187.2  	-55.9 	54    	9.8     	233   	7.8       	5.9       	12913     	-60.5
1940      	09:28:49  	186.8  	-56.1 	55    	9.3     	234   	7.5       	5.5       	12927     	-60.6
1942      	09:28:51  	186.4  	-56.2 	55    	8.7     	234   	7.0       	5.2       	12940     	-60.6
1944      	09:28:53  	186.0  	-56.4 	56    	8.1     	234   	6.6       	4.7       	12955     	-60.7
1946      	09:28:55  	185.6  	-56.5 	56    	7.7     	233   	6.2       	4.6       	12969     	-60.9
1948      	09:28:57  	185.1  	-56.6 	56    	7.7     	232   	6.0       	4.8       	12984     	-61.0
1950      	09:28:59  	184.7  	-56.8 	55    	7.7     	230   	5.9       	5.0       	12999     	-61.2
1952      	09:29:01  	184.3  	-57.0 	55    	7.6     	228   	5.6       	5.1       	13013     	-61.4
1954      	09:29:03  	183.9  	-57.1 	54    	7.7     	226   	5.6       	5.3       	13027     	-61.6
1956      	09:29:05  	183.4  	-57.3 	54    	8.3     	225   	5.9       	5.9       	13043     	-61.8
1958      	09:29:07  	182.9  	-57.4 	54    	8.9     	224   	6.2       	6.4       	13061     	-62.0
1960      	09:29:09  	182.4  	-57.5 	53    	9.4     	227   	6.9       	6.4       	13078     	-62.2
1962      	09:29:11  	182.0  	-57.7 	53    	9.9     	230   	7.6       	6.4       	13094     	-62.4
1964      	09:29:13  	181.5  	-57.8 	53    	10.5    	233   	8.3       	6.4       	13110     	-62.5
1966      	09:29:15  	181.0  	-58.0 	53    	10.8    	236   	8.9       	6.1       	13126     	-62.7
1968      	09:29:17  	180.5  	-58.1 	53    	10.8    	239   	9.3       	5.5       	13144     	-62.8
1970      	09:29:19  	180.0  	-58.2 	53    	10.9    	243   	9.7       	5.0       	13161     	-63.0
1972      	09:29:21  	179.6  	-58.4 	53    	11.1    	246   	10.1      	4.6       	13178     	-63.1
1974      	09:29:23  	179.1  	-58.5 	53    	11.0    	247   	10.1      	4.4       	13194     	-63.2
1976      	09:29:25  	178.7  	-58.7 	53    	10.9    	248   	10.1      	4.2       	13209     	-63.3
1978      	09:29:27  	178.2  	-58.8 	53    	10.8    	248   	10.0      	4.0       	13223     	-63.4
1980      	09:29:29  	177.8  	-59.0 	53    	10.6    	246   	9.7       	4.4       	13238     	-63.6
1982      	09:29:31  	177.4  	-59.1 	54    	10.4    	243   	9.2       	4.8       	13254     	-63.7
1984      	09:29:33  	176.9  	-59.3 	54    	10.3    	240   	8.9       	5.2       	13270     	-63.7
1986      	09:29:35  	176.5  	-59.4 	55    	9.8     	239   	8.4       	5.0       	13285     	-63.8
1988      	09:29:37  	176.1  	-59.6 	55    	9.3     	239   	8.0       	4.8       	13301     	-63.9
1990      	09:29:39  	175.7  	-59.7 	55    	8.9     	239   	7.7       	4.5       	13316     	-64.0
1992      	09:29:41  	175.2  	-59.8 	55    	8.4     	240   	7.3       	4.2       	13330     	-64.2
1994      	09:29:43  	174.8  	-60.0 	55    	8.1     	244   	7.3       	3.6       	13344     	-64.3
1996      	09:29:45  	174.3  	-60.1 	55    	7.9     	248   	7.3       	3.0       	13359     	-64.5
1998      	09:29:47  	173.9  	-60.2 	54    	7.7     	252   	7.3       	2.4       	13378     	-64.6
2000      	09:29:49  	173.4  	-60.4 	54    	7.9     	254   	7.6       	2.2       	13397     	-64.8
2002      	09:29:51  	173.0  	-60.5 	54    	8.0     	256   	7.8       	1.9       	13415     	-65.0
2004      	09:29:53  	172.5  	-60.6 	53    	8.1     	258   	7.9       	1.6       	13429     	-65.1
2006      	09:29:55  	172.0  	-60.8 	53    	8.4     	257   	8.2       	1.9       	13443     	-65.3
2008      	09:29:57  	171.6  	-61.0 	54    	8.7     	255   	8.4       	2.3       	13459     	-65.4
2010      	09:29:59  	171.2  	-61.1 	54    	9.0     	253   	8.6       	2.7       	13476     	-65.6
2012      	09:30:01  	170.7  	-61.3 	54    	8.9     	251   	8.4       	3.0       	13494     	-65.7
2014      	09:30:03  	170.2  	-61.4 	53    	8.8     	248   	8.2       	3.3       	13513     	-65.9
2016      	09:30:05  	169.7  	-61.6 	54    	8.5     	246   	7.8       	3.5       	13531     	-66.0
2018      	09:30:07  	169.2  	-61.8 	53    	8.3     	243   	7.4       	3.7       	13550     	-66.2
2020      	09:30:09  	168.6  	-61.9 	54    	7.8     	242   	6.9       	3.6       	13568     	-66.3
2022      	09:30:11  	168.1  	-62.1 	54    	7.2     	241   	6.3       	3.5       	13587     	-66.4
2024      	09:30:13  	167.6  	-62.3 	55    	6.6     	240   	5.7       	3.3       	13606     	-66.5
2026      	09:30:15  	167.2  	-62.4 	55    	6.0     	239   	5.2       	3.1       	13623     	-66.6
2028      	09:30:17  	166.7  	-62.6 	55    	5.4     	237   	4.5       	2.9       	13641     	-66.8
2030      	09:30:19  	166.2  	-62.7 	55    	4.9     	236   	4.1       	2.8       	13659     	-67.0
2032      	09:30:21  	165.7  	-62.9 	55    	4.6     	236   	3.8       	2.6       	13677     	-67.1
2034      	09:30:23  	165.2  	-63.1 	55    	4.5     	236   	3.7       	2.5       	13695     	-67.3
2036      	09:30:25  	164.7  	-63.2 	55    	4.4     	237   	3.7       	2.4       	13712     	-67.4
2038      	09:30:27  	164.2  	-63.3 	54    	4.4     	235   	3.6       	2.6       	13731     	-67.6
2040      	09:30:29  	163.7  	-63.5 	54    	4.6     	231   	3.6       	2.9       	13751     	-67.8
2042      	09:30:31  	163.3  	-63.6 	54    	4.7     	228   	3.5       	3.2       	13770     	-67.9
2044      	09:30:33  	162.8  	-63.7 	55    	4.9     	224   	3.4       	3.5       	13786     	-67.9
2046      	09:30:35  	162.4  	-63.9 	56    	5.1     	221   	3.4       	3.8       	13801     	-68.0
2048      	09:30:37  	162.0  	-64.0 	56    	5.4     	218   	3.4       	4.2       	13817     	-68.1
2050      	09:30:39  	161.6  	-64.2 	57    	5.7     	216   	3.3       	4.6       	13832     	-68.1
2052      	09:30:41  	161.2  	-64.3 	57    	6.3     	213   	3.5       	5.3       	13847     	-68.2
2054      	09:30:43  	160.8  	-64.4 	57    	7.0     	211   	3.6       	6.0       	13861     	-68.3
2056      	09:30:45  	160.5  	-64.5 	57    	7.7     	209   	3.7       	6.7       	13875     	-68.4
2058      	09:30:47  	160.1  	-64.6 	57    	8.2     	209   	4.0       	7.2       	13888     	-68.6
2060      	09:30:49  	159.6  	-64.8 	56    	8.6     	209   	4.1       	7.6       	13902     	-68.8
2062      	09:30:51  	159.1  	-64.9 	56    	9.0     	209   	4.3       	7.9       	13921     	-68.9
2064      	09:30:53  	158.7  	-65.0 	56    	9.0     	208   	4.3       	7.9       	13943     	-69.0
2066      	09:30:55  	158.2  	-65.1 	56    	8.9     	208   	4.1       	7.9       	13965     	-69.1
2068      	09:30:57  	157.7  	-65.3 	56    	8.8     	207   	4.0       	7.8       	13983     	-69.3
2070      	09:30:59  	157.2  	-65.4 	56    	8.7     	207   	3.9       	7.8       	13998     	-69.4
2072      	09:31:01  	156.8  	-65.5 	57    	8.2     	206   	3.6       	7.4       	14014     	-69.4
2074      	09:31:03  	156.4  	-65.7 	57    	7.8     	205   	3.3       	7.0       	14029     	-69.5
2076      	09:31:05  	156.0  	-65.8 	58    	7.3     	206   	3.1       	6.6       	14045     	-69.6
2078      	09:31:07  	155.6  	-65.9 	58    	6.7     	207   	3.0       	6.0       	14061     	-69.7
2080      	09:31:09  	155.1  	-66.1 	58    	6.2     	208   	2.9       	5.5       	14078     	-69.8
2082      	09:31:11  	154.7  	-66.2 	58    	5.7     	211   	2.9       	4.9       	14096     	-70.0
2084      	09:31:13  	154.3  	-66.4 	58    	5.5     	213   	3.0       	4.6       	14114     	-70.1
2086      	09:31:15  	153.8  	-66.5 	58    	5.5     	216   	3.2       	4.5       	14132     	-70.3
2088      	09:31:17  	153.4  	-66.7 	57    	5.5     	219   	3.4       	4.3       	14148     	-70.4
2090      	09:31:19  	152.9  	-66.8 	57    	5.5     	221   	3.6       	4.2       	14165     	-70.6
2092      	09:31:21  	152.4  	-66.9 	57    	5.7     	222   	3.8       	4.2       	14182     	-70.8
2094      	09:31:23  	152.0  	-67.1 	57    	5.8     	224   	4.0       	4.2       	14204     	-70.9
2096      	09:31:25  	151.4  	-67.2 	56    	5.9     	225   	4.1       	4.2       	14225     	-71.1
2098      	09:31:27  	150.9  	-67.4 	56    	6.0     	224   	4.1       	4.3       	14247     	-71.3
2100      	09:31:29  	150.4  	-67.5 	56    	6.2     	223   	4.2       	4.6       	14268     	-71.5
2102      	09:31:31  	149.8  	-67.7 	56    	6.1     	219   	3.9       	4.7       	14289     	-71.6
2104      	09:31:33  	149.3  	-67.9 	57    	6.0     	214   	3.4       	5.0       	14310     	-71.7
2106      	09:31:35  	148.8  	-68.0 	57    	5.9     	209   	2.8       	5.2       	14332     	-71.8
2108      	09:31:37  	148.3  	-68.2 	57    	5.8     	203   	2.3       	5.3       	14356     	-72.0
2110      	09:31:39  	147.8  	-68.3 	57    	5.7     	198   	1.8       	5.4       	14380     	-72.1
2112      	09:31:41  	147.2  	-68.4 	57    	5.6     	194   	1.3       	5.4       	14394     	-72.2
2114      	09:31:43  	146.9  	-68.6 	57    	5.6     	189   	0.8       	5.5       	14408     	-72.3
2116      	09:31:45  	146.5  	-68.7 	57    	5.7     	183   	0.3       	5.7       	14422     	-72.5
2118      	09:31:47  	146.1  	-68.9 	57    	6.0     	178   	-0.2      	6.0       	14442     	-72.7
2120      	09:31:49  	145.5  	-69.0 	57    	6.4     	174   	-0.7      	6.4       	14465     	-72.8
2122      	09:31:51  	145.0  	-69.2 	57    	6.6     	172   	-0.9      	6.5       	14488     	-72.9
2124      	09:31:53  	144.5  	-69.3 	58    	6.9     	172   	-0.9      	6.8       	14506     	-73.0
2126      	09:31:55  	144.1  	-69.5 	58    	7.2     	173   	-0.9      	7.1       	14525     	-73.0
2128      	09:31:57  	143.7  	-69.6 	59    	7.5     	172   	-1.0      	7.4       	14543     	-73.1
2130      	09:31:59  	143.3  	-69.7 	59    	7.8     	171   	-1.2      	7.7       	14556     	-73.2
2132      	09:32:01  	143.0  	-69.9 	60    	8.1     	170   	-1.4      	8.0       	14568     	-73.3
2134      	09:32:03  	142.6  	-70.0 	60    	8.4     	169   	-1.6      	8.2       	14582     	-73.4
2136      	09:32:05  	142.3  	-70.2 	60    	8.6     	168   	-1.7      	8.4       	14600     	-73.5
2138      	09:32:07  	141.9  	-70.3 	60    	8.7     	167   	-2.0      	8.5       	14617     	-73.7
2140      	09:32:09  	141.5  	-70.5 	60    	8.6     	167   	-1.9      	8.4       	14633     	-73.9
2142      	09:32:11  	141.1  	-70.6 	60    	8.3     	170   	-1.4      	8.2       	14649     	-74.0
2144      	09:32:13  	140.7  	-70.7 	60    	8.0     	173   	-1.0      	7.9       	14665     	-74.1
2146      	09:32:15  	140.3  	-70.8 	60    	7.7     	176   	-0.6      	7.7       	14681     	-74.2
2148      	09:32:17  	139.9  	-70.9 	59    	7.5     	180   	0.1       	7.5       	14698     	-74.3
2150      	09:32:19  	139.5  	-71.0 	59    	7.2     	185   	0.7       	7.2       	14715     	-74.5
2152      	09:32:21  	139.1  	-71.1 	59    	7.1     	191   	1.3       	7.0       	14733     	-74.6
2154      	09:32:23  	138.7  	-71.2 	59    	6.9     	193   	1.5       	6.7       	14751     	-74.7
2156      	09:32:25  	138.2  	-71.3 	59    	6.7     	193   	1.5       	6.5       	14770     	-74.7
2158      	09:32:27  	137.8  	-71.3 	58    	6.5     	193   	1.5       	6.3       	14788     	-74.8
2160      	09:32:29  	137.4  	-71.4 	58    	6.4     	191   	1.2       	6.3       	14806     	-74.9
2162      	09:32:31  	137.0  	-71.5 	58    	6.4     	185   	0.6       	6.4       	14823     	-75.0
2164      	09:32:33  	136.6  	-71.6 	59    	6.4     	180   	-0.1      	6.4       	14840     	-75.0
