Time [mm:ss]	UTC Time [hh:mm:ss]	T [°C]   	U [%r H]	Tu Cap [°C]
47:16.2     	09:43:45.5         	--       	--      	-62.56
47:16.3     	09:43:45.6         	0x49 7808	        	
47:16.7     	09:43:46.0         	-65.69   	43.5    	-62.59
47:17.5     	09:43:46.8         	-66.06   	43.5    	-62.65
47:18.4     	09:43:47.7         	-66.09   	43.5    	-62.70
47:19.3     	09:43:48.6         	-66.12   	43.5    	-62.65
47:20.2     	09:43:49.5         	-66.16   	43.4    	-62.80
47:21.1     	09:43:50.4         	-66.23   	43.5    	-62.87
47:22.0     	09:43:51.3         	-66.32   	43.5    	-62.92
47:22.9     	09:43:52.2         	-66.39   	43.5    	-62.99
47:23.8     	09:43:53.1         	-66.42   	43.5    	-63.06
47:24.7     	09:43:54.0         	-66.52   	43.5    	-63.15
47:25.6     	09:43:54.9         	-66.61   	43.5    	-63.25
47:26.7     	09:43:56.0         	-66.71   	43.4    	-63.38
47:27.4     	09:43:56.7         	-66.78   	43.5    	-63.50
47:28.3     	09:43:57.6         	-66.89   	43.5    	-63.61
47:29.2     	09:43:58.5         	-66.93   	43.5    	-63.69
47:30.1     	09:43:59.4         	-66.98   	43.5    	-63.76
47:31.0     	09:44:00.3         	-67.08   	43.5    	-63.82
47:31.9     	09:44:01.2         	-67.15   	43.5    	-63.76
47:32.8     	09:44:02.2         	-67.14   	43.5    	-63.91
47:33.6     	09:44:03.0         	-67.16   	43.5    	-63.98
47:34.5     	09:44:03.9         	-67.22   	43.5    	-64.04
47:35.5     	09:44:04.9         	-67.25   	43.5    	-64.12
47:36.3     	09:44:05.7         	-67.28   	43.5    	-64.19
47:37.2     	09:44:06.6         	-67.36   	43.5    	-64.29
47:38.1     	09:44:07.5         	-67.55   	43.5    	-64.40
47:39.0     	09:44:08.4         	-67.75   	43.5    	-64.49
47:39.9     	09:44:09.3         	-67.84   	43.5    	-64.56
47:40.8     	09:44:10.2         	-67.90   	43.5    	-64.63
47:41.7     	09:44:11.1         	-67.93   	43.5    	-64.74
47:42.6     	09:44:12.0         	-67.59   	43.5    	-64.74
47:43.5     	09:44:12.9         	-67.59   	43.5    	-64.74
47:44.4     	09:44:13.8         	-67.95   	43.5    	-64.79
47:45.3     	09:44:14.7         	-68.04   	43.5    	-64.85
47:46.3     	09:44:15.6         	-68.12   	43.5    	-64.90
47:47.1     	09:44:16.4         	-68.16   	43.5    	-64.94
47:48.1     	09:44:17.4         	-68.22   	43.5    	-64.99
47:49.0     	09:44:18.3         	-68.33   	43.5    	-65.07
47:49.8     	09:44:19.1         	-68.42   	43.5    	-65.14
47:50.7     	09:44:20.0         	-68.54   	43.6    	-65.22
47:51.6     	09:44:20.9         	-68.53   	43.6    	-65.31
47:52.5     	09:44:21.8         	-68.56   	43.6    	-65.36
47:53.4     	09:44:22.7         	-68.65   	43.6    	-65.44
47:54.3     	09:44:23.6         	-68.85   	43.6    	-65.54
47:55.2     	09:44:24.5         	-69.07   	43.6    	-65.65
47:56.1     	09:44:25.4         	-69.21   	43.6    	-65.74
47:57.0     	09:44:26.3         	-69.27   	43.6    	-65.83
47:57.9     	09:44:27.2         	-69.31   	43.6    	-65.89
47:58.8     	09:44:28.1         	-68.95   	43.6    	-65.94
47:59.7     	09:44:29.0         	-69.27   	43.6    	-65.97
48:00.6     	09:44:29.9         	-69.23   	43.6    	-65.98
48:01.5     	09:44:30.8         	-69.20   	43.6    	-65.99
48:02.4     	09:44:31.7         	-69.18   	43.6    	-66.01
48:03.2     	09:44:32.5         	-69.26   	43.6    	-66.05
48:04.2     	09:44:33.5         	-69.35   	43.6    	-66.09
48:05.1     	09:44:34.4         	-69.40   	43.6    	-66.13
48:05.9     	09:44:35.2         	-69.47   	43.6    	-66.18
48:06.8     	09:44:36.1         	-69.58   	43.6    	-66.25
48:07.8     	09:44:37.1         	-69.70   	43.6    	-66.31
48:08.6     	09:44:37.9         	-69.79   	43.6    	-66.38
48:09.5     	09:44:38.8         	-69.81   	43.6    	-66.44
48:10.4     	09:44:39.7         	-69.83   	43.6    	-66.48
48:11.3     	09:44:40.6         	-69.88   	43.6    	-66.53
48:12.2     	09:44:41.5         	-69.91   	43.6    	-66.59
48:13.1     	09:44:42.4         	-69.96   	43.6    	-66.65
48:14.0     	09:44:43.3         	-70.07   	43.6    	-66.71
48:14.9     	09:44:44.2         	-70.13   	43.6    	-66.78
48:15.8     	09:44:45.1         	-70.20   	43.6    	-66.85
48:16.7     	09:44:46.0         	-70.31   	43.7    	-66.92
48:17.6     	09:44:46.9         	-70.35   	43.7    	-66.97
48:18.5     	09:44:47.8         	-70.41   	43.7    	-67.01
48:19.4     	09:44:48.7         	-70.49   	43.7    	-67.06
48:20.3     	09:44:49.6         	-70.57   	43.7    	-67.09
48:21.2     	09:44:50.5         	-70.60   	43.7    	-67.12
48:22.0     	09:44:51.3         	-70.65   	43.7    	-67.16
48:23.0     	09:44:52.3         	-70.70   	43.6    	-67.22
48:23.9     	09:44:53.2         	-70.74   	43.6    	-67.29
48:24.7     	09:44:54.0         	-70.86   	43.7    	-67.39
48:25.6     	09:44:54.9         	-70.99   	43.7    	-67.49
48:26.6     	09:44:55.9         	-71.11   	43.7    	-67.59
48:27.4     	09:44:56.7         	-71.21   	43.7    	-67.69
48:28.3     	09:44:57.6         	-71.30   	43.7    	-67.79
48:29.2     	09:44:58.5         	-71.36   	43.7    	-67.86
48:30.2     	09:44:59.5         	-71.38   	43.7    	-67.92
48:31.0     	09:45:00.3         	-71.41   	43.7    	-67.97
48:31.9     	09:45:01.2         	-71.40   	43.7    	-68.01
48:32.8     	09:45:02.1         	-71.38   	43.7    	-68.04
48:33.7     	09:45:03.0         	-71.38   	43.7    	-68.07
48:34.6     	09:45:03.9         	-71.40   	43.7    	-68.11
48:35.5     	09:45:04.8         	-71.45   	43.7    	-68.07
48:36.4     	09:45:05.7         	-71.47   	43.7    	-68.18
48:37.3     	09:45:06.6         	-71.49   	43.7    	-68.23
48:38.2     	09:45:07.5         	-71.48   	43.7    	-68.29
48:39.1     	09:45:08.4         	-71.44   	43.7    	-68.34
48:40.0     	09:45:09.3         	-71.40   	43.7    	-68.38
48:40.9     	09:45:10.2         	-71.38   	43.7    	-68.43
48:41.8     	09:45:11.1         	-71.41   	43.7    	-68.47
48:42.7     	09:45:12.1         	-71.47   	43.7    	-68.51
48:43.6     	09:45:13.0         	-71.53   	43.7    	-68.53
48:44.4     	09:45:13.8         	-71.50   	43.7    	-68.54
48:45.4     	09:45:14.8         	-71.47   	43.7    	-68.56
48:46.3     	09:45:15.7         	-71.38   	43.7    	-68.57
48:47.1     	09:45:16.5         	-71.31   	43.7    	-68.59
48:48.0     	09:45:17.4         	-71.25   	43.7    	-68.62
48:48.9     	09:45:18.3         	-71.23   	43.7    	-68.64
48:49.8     	09:45:19.2         	-71.21   	43.7    	-68.68
48:50.7     	09:45:20.1         	-71.18   	43.7    	-68.71
48:51.6     	09:45:21.0         	-71.16   	43.7    	-68.75
48:52.5     	09:45:21.9         	-71.22   	43.7    	-68.78
48:53.4     	09:45:22.8         	-71.30   	43.7    	-68.80
48:54.3     	09:45:23.7         	-71.42   	43.7    	-68.82
48:55.2     	09:45:24.6         	-71.47   	43.7    	-68.82
48:56.1     	09:45:25.5         	-71.46   	43.7    	-68.82
48:57.0     	09:45:26.4         	-71.43   	43.7    	-68.82
48:57.9     	09:45:27.3         	-71.45   	43.7    	-68.83
48:58.8     	09:45:28.2         	-71.51   	43.7    	-68.86
48:59.7     	09:45:29.1         	-71.61   	43.7    	-68.89
49:00.5     	09:45:29.9         	-71.66   	43.7    	-68.95
49:01.5     	09:45:30.9         	-71.72   	43.7    	-68.99
49:02.4     	09:45:31.8         	-71.77   	43.8    	-69.03
49:03.2     	09:45:32.6         	-71.86   	43.8    	-69.07
49:04.1     	09:45:33.5         	-71.98   	43.8    	-69.12
49:05.1     	09:45:34.5         	-72.07   	43.8    	-69.17
49:05.2     	09:45:34.6         	-71.98   	43.8    	-69.17
49:05.9     	09:45:35.3         	-72.13   	43.8    	-69.21
49:06.9     	09:45:36.2         	-72.19   	43.8    	-69.25
49:07.8     	09:45:37.1         	-71.90   	43.8    	-69.27
49:08.9     	09:45:38.2         	-71.60   	43.8    	-69.29
49:09.2     	09:45:38.5         	-71.60   	43.8    	-69.30
49:09.6     	09:45:38.9         	-72.45   	43.8    	-69.31
49:10.5     	09:45:39.8         	-72.50   	43.8    	-69.33
49:11.4     	09:45:40.7         	-72.53   	43.8    	-69.35
49:12.3     	09:45:41.6         	-72.56   	43.8    	-69.38
49:13.2     	09:45:42.5         	-72.66   	43.8    	-69.40
49:14.0     	09:45:43.3         	-72.70   	43.8    	-69.43
49:15.0     	09:45:44.3         	-72.76   	43.8    	-69.46
49:15.9     	09:45:45.2         	-72.86   	43.8    	-69.50
49:16.7     	09:45:46.0         	-72.97   	43.8    	-69.54
49:17.6     	09:45:46.9         	-73.05   	43.8    	-69.57
49:18.6     	09:45:47.9         	-73.07   	43.9    	-69.59
49:19.7     	09:45:49.0         	-73.09   	43.9    	-69.62
49:19.9     	09:45:49.2         	-73.09   	43.9    	-69.61
49:20.3     	09:45:49.6         	-73.15   	43.9    	-69.62
49:21.2     	09:45:50.5         	-73.07   	43.9    	-69.64
49:22.1     	09:45:51.4         	-73.31   	43.9    	-69.67
49:23.0     	09:45:52.3         	-73.55   	43.9    	-69.67
49:23.2     	09:45:52.5         	-73.55   	43.9    	-69.62
49:23.9     	09:45:53.2         	-73.42   	43.8    	-69.60
49:24.8     	09:45:54.1         	-73.37   	43.8    	-71.09
49:25.7     	09:45:55.0         	-73.35   	44.4    	-69.83
49:26.6     	09:45:55.9         	-73.22   	43.9    	-69.87
49:27.5     	09:45:56.8         	-73.14   	43.3    	-69.91
49:28.0     	09:45:57.3         	-73.07   	43.3    	-69.83
49:28.4     	09:45:57.7         	-73.22   	--      	-69.97
49:29.3     	09:45:58.6         	-73.14   	43.9    	-70.04
49:30.2     	09:45:59.5         	-73.09   	43.9    	-70.08
49:31.1     	09:46:00.4         	-73.02   	43.9    	-70.12
49:32.0     	09:46:01.3         	-73.02   	43.9    	-70.15
49:32.8     	09:46:02.1         	-73.03   	43.9    	-70.17
49:33.8     	09:46:03.1         	-72.97   	43.9    	-70.18
49:34.7     	09:46:04.0         	-72.87   	43.9    	-70.20
49:35.5     	09:46:04.8         	-72.77   	43.9    	-70.15
49:36.9     	09:46:06.2         	-72.68   	43.9    	-70.13
49:37.4     	09:46:06.7         	-72.87   	43.8    	-70.14
49:38.2     	09:46:07.5         	-72.57   	43.8    	-70.13
49:39.2     	09:46:08.5         	-72.59   	43.8    	-70.13
49:39.8     	09:46:09.1         	-72.61   	43.8    	-70.13
49:40.1     	09:46:09.4         	-72.60   	43.8    	-70.20
49:40.9     	09:46:10.2         	-72.69   	43.9    	-70.19
49:41.8     	09:46:11.1         	-72.61   	43.9    	-70.20
49:42.7     	09:46:12.0         	-72.41   	43.9    	-70.18
49:43.6     	09:46:12.9         	-72.48   	43.8    	-70.22
49:44.5     	09:46:13.8         	-72.57   	43.9    	-70.24
49:45.4     	09:46:14.8         	-72.62   	43.8    	-70.27
49:46.2     	09:46:15.6         	-72.94   	43.9    	-70.30
49:47.1     	09:46:16.5         	-73.05   	43.9    	-70.31
49:48.1     	09:46:17.4         	-73.09   	43.8    	-70.30
49:49.0     	09:46:18.3         	-73.15   	43.9    	-70.31
49:49.9     	09:46:19.2         	-73.17   	43.9    	-70.30
49:50.7     	09:46:20.1         	-73.22   	43.9    	-70.33
49:51.9     	09:46:21.2         	-73.26   	43.9    	-70.30
49:52.6     	09:46:21.9         	-73.28   	43.9    	-70.34
49:53.5     	09:46:22.8         	-73.33   	43.9    	-70.34
49:54.3     	09:46:23.6         	-73.46   	43.9    	-70.38
49:55.5     	09:46:24.8         	-73.59   	43.9    	-70.41
49:56.2     	09:46:25.5         	-73.59   	43.9    	-70.46
49:57.0     	09:46:26.4         	-73.62   	43.9    	-70.51
49:57.9     	09:46:27.3         	-73.68   	43.9    	-70.52
49:58.8     	09:46:28.2         	-73.68   	43.9    	-70.55
49:59.7     	09:46:29.1         	-73.74   	43.9    	-70.60
50:00.6     	09:46:30.0         	-73.86   	43.9    	-70.66
50:01.6     	09:46:30.9         	-73.96   	43.9    	-70.73
50:02.2     	09:46:31.5         	-74.06   	44.0    	-70.73
50:02.4     	09:46:31.7         	-74.00   	44.0    	-70.73
50:03.3     	09:46:32.6         	-73.96   	44.0    	-70.66
50:04.2     	09:46:33.5         	-73.99   	44.0    	-70.62
50:05.1     	09:46:34.4         	-73.96   	43.9    	-70.78
50:06.0     	09:46:35.3         	-74.12   	44.0    	-70.83
50:06.9     	09:46:36.2         	-74.23   	44.0    	-70.86
50:07.8     	09:46:37.1         	-74.30   	44.0    	-70.90
50:09.1     	09:46:38.4         	-74.37   	44.0    	-70.93
50:09.6     	09:46:38.9         	-74.37   	44.0    	-70.96
50:10.5     	09:46:39.8         	-74.34   	44.0    	-70.99
50:11.4     	09:46:40.7         	-74.35   	43.9    	-71.06
50:12.0     	09:46:41.3         	-74.36   	43.9    	-71.06
50:12.3     	09:46:41.6         	-74.38   	44.0    	-71.07
50:13.1     	09:46:42.4         	-73.98   	44.0    	-71.15
50:14.1     	09:46:43.4         	-74.35   	43.9    	-71.19
50:15.0     	09:46:44.3         	-74.66   	44.0    	-71.07
50:16.1     	09:46:45.4         	-74.97   	44.0    	-70.95
50:16.7     	09:46:46.0         	-74.97   	43.9    	-70.95
50:17.0     	09:46:46.3         	--       	43.9    	-71.41
50:17.7     	09:46:47.0         	-75.01   	44.1    	-71.46
50:18.5     	09:46:47.8         	-75.35   	44.2    	-71.50
50:18.8     	09:46:48.1         	-75.35   	44.1    	-71.49
50:19.4     	09:46:48.7         	-75.11   	44.1    	-71.46
50:20.3     	09:46:49.6         	-75.12   	44.1    	-71.56
50:21.2     	09:46:50.5         	-75.15   	44.1    	-71.49
50:22.1     	09:46:51.4         	-75.12   	44.0    	-71.65
50:23.0     	09:46:52.3         	-75.12   	44.0    	-71.56
50:24.1     	09:46:53.5         	-75.12   	44.1    	-71.73
50:25.0     	09:46:54.4         	-75.12   	44.1    	-71.65
50:25.7     	09:46:55.1         	-75.17   	44.0    	-71.76
50:26.8     	09:46:56.2         	-75.23   	44.1    	-71.78
50:27.5     	09:46:56.9         	-75.16   	44.1    	-71.79
50:28.5     	09:46:57.8         	-75.20   	44.1    	-71.81
50:29.3     	09:46:58.6         	-75.23   	44.1    	-71.84
50:30.2     	09:46:59.5         	-75.32   	44.2    	-71.80
50:31.1     	09:47:00.4         	-75.23   	44.1    	-71.82
50:32.0     	09:47:01.3         	-75.43   	44.1    	-71.94
50:32.9     	09:47:02.2         	-75.33   	44.0    	-71.82
50:33.8     	09:47:03.1         	-75.42   	44.1    	-72.06
50:34.7     	09:47:04.0         	-75.43   	44.1    	-72.11
50:35.6     	09:47:04.9         	-75.40   	44.1    	-72.14
50:36.5     	09:47:05.8         	-75.38   	44.1    	-72.16
50:37.4     	09:47:06.7         	-74.98   	44.1    	-72.18
50:38.3     	09:47:07.6         	-74.57   	44.1    	-72.20
50:38.5     	09:47:07.8         	-74.57   	44.1    	-72.20
50:39.2     	09:47:08.5         	-75.00   	44.1    	-72.20
50:40.0     	09:47:09.3         	-75.01   	44.1    	-72.22
50:40.9     	09:47:10.2         	-75.07   	44.1    	-72.26
50:41.8     	09:47:11.2         	-75.16   	44.1    	-72.29
50:42.7     	09:47:12.1         	-75.28   	44.1    	-72.35
50:43.6     	09:47:13.0         	-75.75   	44.2    	-72.41
50:44.3     	09:47:13.7         	-76.21   	44.2    	-72.41
50:44.5     	09:47:13.9         	-75.87   	44.1    	-72.47
50:45.4     	09:47:14.8         	-76.03   	44.1    	-72.55
50:46.3     	09:47:15.7         	-76.20   	44.2    	-72.63
50:46.5     	09:47:15.9         	-76.20   	44.2    	-72.64
50:47.2     	09:47:16.6         	-76.26   	44.2    	-72.73
50:48.2     	09:47:17.5         	-76.03   	44.2    	-72.73
50:48.6     	09:47:17.9         	-75.81   	44.2    	-72.78
50:49.0     	09:47:18.3         	-76.54   	44.2    	-72.90
50:49.9     	09:47:19.2         	-76.74   	44.2    	-73.02
50:50.8     	09:47:20.1         	-76.90   	44.3    	-73.11
50:51.7     	09:47:21.0         	-76.97   	44.3    	-73.19
50:52.6     	09:47:21.9         	-76.96   	44.3    	-73.25
50:53.7     	09:47:23.0         	-76.96   	44.3    	-73.31
50:53.9     	09:47:23.2         	-76.96   	44.3    	-73.32
50:54.6     	09:47:24.0         	--       	44.4    	-73.38
50:54.8     	09:47:24.2         	--       	44.4    	-73.38
50:55.3     	09:47:24.7         	-77.23   	44.3    	-73.43
50:56.4     	09:47:25.8         	-77.49   	44.4    	-73.47
50:57.1     	09:47:26.4         	-77.29   	44.3    	-73.52
50:58.0     	09:47:27.3         	-77.23   	44.3    	-73.56
50:58.9     	09:47:28.2         	-77.17   	44.4    	-73.60
50:59.1     	09:47:28.4         	-77.17   	44.4    	-73.60
50:59.6     	09:47:28.9         	--       	44.4    	--
50:59.8     	09:47:29.1         	-77.30   	44.3    	-73.67
51:01.1     	09:47:30.5         	-77.37   	44.2    	-73.79
51:01.3     	09:47:30.7         	-77.37   	44.2    	-73.79
51:01.5     	09:47:30.9         	-77.37   	44.3    	-73.76
51:02.4     	09:47:31.8         	-77.51   	44.3    	-73.88
51:03.3     	09:47:32.7         	-77.61   	44.4    	-73.96
51:04.2     	09:47:33.6         	-77.65   	44.4    	-74.02
51:05.1     	09:47:34.5         	-77.72   	44.4    	-74.08
51:06.0     	09:47:35.4         	-77.81   	44.4    	-74.14
51:07.1     	09:47:36.5         	-77.90   	44.4    	-74.20
51:07.8     	09:47:37.2         	-77.96   	44.5    	-74.22
51:08.7     	09:47:38.1         	-77.81   	44.4    	-74.28
51:09.6     	09:47:39.0         	-78.14   	44.5    	-74.35
51:10.5     	09:47:39.9         	-78.37   	44.4    	-74.46
51:11.4     	09:47:40.8         	-78.52   	44.5    	-74.55
51:12.2     	09:47:41.6         	-78.45   	44.5    	-74.49
51:13.2     	09:47:42.6         	-78.49   	44.5    	-74.54
51:14.1     	09:47:43.5         	-78.59   	44.5    	-74.55
51:14.9     	09:47:44.3         	-78.61   	44.5    	-74.62
51:15.8     	09:47:45.2         	-78.59   	44.5    	-74.70
51:16.8     	09:47:46.2         	-78.84   	44.5    	-74.95
51:17.6     	09:47:47.0         	-78.90   	44.6    	-75.03
51:18.5     	09:47:47.9         	-78.92   	44.6    	-75.08
51:19.5     	09:47:48.9         	-78.90   	44.7    	-75.13
51:20.1     	09:47:49.5         	-78.89   	44.7    	-75.13
51:20.3     	09:47:49.7         	-78.94   	44.6    	-75.20
51:21.2     	09:47:50.6         	-79.00   	44.6    	-75.27
51:22.6     	09:47:52.0         	-79.06   	44.6    	-75.35
51:23.0     	09:47:52.4         	-79.28   	44.7    	-75.43
51:24.0     	09:47:53.3         	-79.41   	44.6    	-75.51
51:24.9     	09:47:54.2         	-84.80   	44.9    	-75.62
51:25.8     	09:47:55.1         	-79.69   	44.7    	-75.67
51:26.7     	09:47:56.0         	-79.83   	44.7    	-75.77
51:27.6     	09:47:56.9         	-79.52   	44.7    	-75.84
51:28.5     	09:47:57.8         	-79.60   	44.7    	-75.91
51:28.9     	09:47:58.2         	-79.67   	44.7    	-75.77
51:29.4     	09:47:58.7         	-79.62   	44.7    	-75.97
51:30.3     	09:47:59.6         	-79.61   	44.7    	-76.02
51:31.1     	09:48:00.4         	-80.06   	44.8    	-76.07
51:32.1     	09:48:01.4         	-80.08   	44.8    	-76.12
51:33.0     	09:48:02.3         	-80.12   	44.8    	-76.18
51:33.8     	09:48:03.1         	-80.12   	44.8    	-76.21
51:34.7     	09:48:04.0         	-80.09   	44.8    	-76.26
51:35.7     	09:48:05.0         	-80.18   	44.8    	-76.33
51:36.5     	09:48:05.8         	-80.25   	44.8    	-76.38
51:37.4     	09:48:06.7         	-80.26   	44.8    	-76.44
51:38.3     	09:48:07.6         	-80.26   	44.8    	-76.51
51:39.2     	09:48:08.5         	-80.22   	44.9    	-76.47
51:40.1     	09:48:09.4         	-80.14   	44.8    	-76.54
51:41.0     	09:48:10.3         	-80.00   	44.8    	-76.59
51:41.9     	09:48:11.2         	-80.14   	44.8    	-76.62
51:42.8     	09:48:12.1         	-79.74   	44.8    	-76.65
51:44.1     	09:48:13.4         	-79.34   	44.8    	-76.66
51:44.6     	09:48:13.9         	-79.22   	44.8    	-76.66
51:45.5     	09:48:14.8         	-80.00   	44.8    	-76.66
51:46.4     	09:48:15.7         	-79.52   	44.8    	-76.68
51:47.3     	09:48:16.6         	-79.46   	44.8    	-76.69
51:48.2     	09:48:17.5         	-79.46   	44.8    	-76.71
51:49.1     	09:48:18.4         	-79.49   	44.8    	-76.70
51:50.0     	09:48:19.3         	-79.49   	44.8    	-76.62
51:50.9     	09:48:20.2         	-79.47   	44.8    	-76.62
51:51.8     	09:48:21.1         	-79.44   	44.8    	-76.59
51:52.6     	09:48:21.9         	-79.47   	44.7    	-76.65
51:53.6     	09:48:22.9         	-79.50   	44.8    	-76.67
51:54.5     	09:48:23.8         	-79.54   	44.8    	-76.67
51:55.3     	09:48:24.6         	-79.54   	44.8    	-76.68
51:56.2     	09:48:25.5         	-79.48   	44.8    	-76.69
51:57.1     	09:48:26.4         	-79.43   	44.8    	-76.71
51:58.0     	09:48:27.3         	-79.42   	44.8    	-76.72
51:58.9     	09:48:28.2         	-79.44   	44.8    	-76.73
51:59.8     	09:48:29.1         	-79.49   	44.8    	-76.74
52:00.7     	09:48:30.0         	-79.06   	44.8    	-76.72
52:01.6     	09:48:30.9         	-79.38   	44.8    	-76.69
52:02.5     	09:48:31.8         	-79.33   	44.8    	-76.66
52:03.3     	09:48:32.6         	-79.24   	44.7    	-76.64
52:04.3     	09:48:33.6         	-79.23   	44.7    	-76.63
52:05.2     	09:48:34.5         	-79.34   	44.7    	-76.64
52:06.0     	09:48:35.3         	-79.42   	44.7    	-76.65
52:06.9     	09:48:36.2         	-79.45   	44.8    	-76.67
52:07.9     	09:48:37.2         	-79.44   	44.8    	-76.65
52:08.7     	09:48:38.1         	-79.44   	44.8    	-76.63
52:09.6     	09:48:39.0         	-79.42   	44.8    	-76.61
52:10.5     	09:48:39.9         	-79.40   	44.8    	-76.57
52:11.4     	09:48:40.8         	-79.40   	44.8    	-76.54
52:12.3     	09:48:41.7         	-79.46   	44.8    	-76.51
52:13.2     	09:48:42.6         	-79.47   	44.8    	-76.43
52:14.1     	09:48:43.5         	-79.47   	44.8    	-76.38
52:15.0     	09:48:44.4         	-79.51   	44.8    	-76.35
52:16.0     	09:48:45.3         	-79.63   	44.8    	-76.34
52:16.8     	09:48:46.1         	-79.71   	44.8    	-76.29
52:17.8     	09:48:47.1         	-79.71   	44.8    	-76.28
52:18.7     	09:48:48.0         	-79.30   	44.7    	-76.30
52:19.8     	09:48:49.1         	-78.90   	44.8    	-76.35
52:20.4     	09:48:49.7         	-79.80   	44.8    	-76.37
52:21.3     	09:48:50.6         	-79.72   	44.8    	-76.38
52:22.1     	09:48:51.5         	-79.97   	44.8    	-76.44
52:23.3     	09:48:52.7         	-80.21   	44.8    	-76.50
52:24.0     	09:48:53.4         	-80.18   	44.8    	-76.53
52:24.8     	09:48:54.2         	-80.27   	44.8    	-76.56
52:25.7     	09:48:55.1         	-80.32   	44.9    	-76.53
52:26.7     	09:48:56.1         	-80.29   	44.8    	-76.53
52:27.5     	09:48:56.9         	-80.32   	44.8    	-76.53
52:28.4     	09:48:57.8         	-80.29   	44.8    	-76.53
52:29.2     	09:48:58.6         	-80.26   	44.8    	-76.53
52:29.8     	09:48:59.2         	-83.47   	44.8    	-76.53
52:30.2     	09:48:59.6         	-83.97   	44.9    	-76.86
52:31.1     	09:49:00.5         	-80.47   	44.9    	-76.89
52:32.0     	09:49:01.4         	-80.54   	45.0    	-76.81
52:33.1     	09:49:02.5         	-80.61   	45.1    	-76.72
52:33.8     	09:49:03.2         	-80.10   	45.0    	-76.70
52:34.9     	09:49:04.3         	-79.65   	44.9    	-76.60
52:35.6     	09:49:05.0         	-80.00   	44.9    	-76.74
52:36.7     	09:49:06.1         	-79.89   	44.9    	-76.78
52:36.9     	09:49:06.3         	-79.89   	44.9    	-76.78
52:37.4     	09:49:06.8         	-80.36   	44.9    	-76.92
52:38.3     	09:49:07.7         	-80.33   	44.9    	-77.01
52:39.2     	09:49:08.6         	-80.21   	45.0    	-77.13
52:40.1     	09:49:09.5         	-80.15   	44.9    	-77.24
52:40.9     	09:49:10.3         	-80.04   	44.9    	-77.34
52:42.0     	09:49:11.3         	-79.83   	44.9    	-77.39
52:42.9     	09:49:12.2         	-79.68   	44.9    	-77.50
52:43.7     	09:49:13.0         	-79.55   	44.9    	-77.54
52:44.6     	09:49:13.9         	-79.44   	44.9    	-77.55
52:45.5     	09:49:14.8         	-79.35   	44.9    	-77.53
52:46.4     	09:49:15.7         	-79.37   	44.9    	-77.53
52:47.6     	09:49:16.9         	-79.38   	44.9    	-77.56
52:48.4     	09:49:17.7         	-79.38   	44.9    	-77.59
52:49.1     	09:49:18.4         	-79.49   	44.9    	-77.61
52:50.0     	09:49:19.3         	-79.48   	44.9    	-77.64
52:50.9     	09:49:20.2         	-79.49   	44.9    	-77.62
52:51.8     	09:49:21.1         	-79.50   	45.0    	-77.60
52:52.7     	09:49:22.0         	-79.69   	44.9    	-77.67
52:53.6     	09:49:22.9         	-80.02   	44.9    	-77.74
52:54.5     	09:49:23.8         	-80.20   	44.9    	-77.82
52:55.4     	09:49:24.7         	-80.25   	45.0    	-77.91
52:56.3     	09:49:25.6         	-80.17   	45.0    	-77.96
52:57.2     	09:49:26.5         	-80.05   	45.0    	-77.97
52:58.1     	09:49:27.4         	-79.83   	45.0    	-77.97
52:59.0     	09:49:28.3         	-79.61   	45.0    	-77.98
52:59.8     	09:49:29.1         	-79.37   	45.0    	-77.92
53:00.8     	09:49:30.1         	-79.12   	45.0    	-77.83
53:01.7     	09:49:31.0         	-78.85   	44.9    	-77.76
53:02.8     	09:49:32.1         	-78.58   	44.9    	-77.67
53:03.4     	09:49:32.7         	-77.90   	45.0    	-77.58
53:04.9     	09:49:34.2         	-76.95   	45.0    	-77.67
53:05.2     	09:49:34.5         	-77.39   	39.1    	-77.36
53:06.1     	09:49:35.4         	-77.22   	39.8    	-77.24
53:07.0     	09:49:36.3         	-77.11   	39.9    	-77.10
53:07.9     	09:49:37.2         	-77.38   	42.5    	-76.96
53:08.8     	09:49:38.1         	-77.20   	42.3    	-76.81
53:09.7     	09:49:39.0         	-76.60   	39.4    	-76.67
53:10.6     	09:49:39.9         	-76.35   	38.7    	-76.52
53:11.5     	09:49:40.8         	-76.08   	38.0    	-76.38
53:12.4     	09:49:41.7         	-76.73   	42.8    	-76.24
53:13.3     	09:49:42.6         	-75.99   	38.3    	-75.99
53:14.2     	09:49:43.5         	-75.81   	39.5    	-75.83
53:15.1     	09:49:44.4         	-75.72   	39.9    	-75.66
53:15.9     	09:49:45.2         	-75.64   	40.4    	-75.51
53:17.1     	09:49:46.4         	-75.56   	41.3    	-75.35
53:17.8     	09:49:47.1         	-75.00   	38.3    	-75.51
53:18.6     	09:49:47.9         	-74.87   	37.0    	-75.07
53:19.5     	09:49:48.8         	-74.84   	39.1    	-74.94
53:20.5     	09:49:49.8         	-74.73   	39.2    	-74.78
53:21.3     	09:49:50.6         	-75.01   	39.3    	-74.94
53:22.2     	09:49:51.5         	-74.85   	40.0    	-74.50
53:23.1     	09:49:52.4         	-74.33   	40.8    	-74.35
53:24.0     	09:49:53.3         	-73.80   	40.1    	-74.19
