Time [mm:ss]	UTC Time [hh:mm:ss]	Range [m]	Vertical Speed [m/s]	Horizontal Speed [m/s]	Longitude [°]	Latitude [°]	Altitude [m]
53:01.2     	09:49:30.5         	17013.5  	-32.3               	6.7                   	76.31386     	10.0756     	16538.4
53:02.1     	09:49:31.4         	---      	---                 	---                   	---          	---         	---
53:03.2     	09:49:32.5         	4191.9   	0.0                 	7.2                   	76.31396     	10.0757     	0.0
53:06.1     	09:49:35.4         	---      	---                 	---                   	---          	---         	---
53:07.2     	09:49:36.5         	16835.0  	-31.0               	5.6                   	76.31412     	10.0759     	16350.6
53:08.1     	09:49:37.4         	16805.5  	-31.0               	6.9                   	76.31416     	10.0759     	16319.6
53:09.2     	09:49:38.5         	4207.2   	-31.2               	7.7                   	76.31421     	10.0760     	0.0
53:10.2     	09:49:39.5         	4210.8   	0.0                 	7.7                   	76.31425     	10.0760     	0.0
53:11.2     	09:49:40.5         	---      	---                 	---                   	---          	---         	---
53:12.2     	09:49:41.5         	16688.8  	-31.0               	9.0                   	76.31432     	10.0762     	16194.9
53:13.3     	09:49:42.6         	---      	---                 	---                   	---          	---         	---
53:14.2     	09:49:43.5         	16631.4  	-30.6               	7.1                   	76.31441     	10.0763     	16134.0
53:15.1     	09:49:44.4         	16601.3  	-31.3               	7.7                   	76.31446     	10.0763     	16102.5
53:16.2     	09:49:45.5         	16571.4  	-31.2               	0.0                   	76.31453     	10.0763     	16071.5
53:17.1     	09:49:46.4         	4227.3   	-31.2               	7.3                   	76.31460     	10.0764     	0.0
53:21.1     	09:49:50.4         	16417.7  	0.0                 	7.6                   	76.31485     	10.0765     	15913.3
53:22.2     	09:49:51.5         	4222.7   	0.0                 	5.2                   	76.31490     	10.0765     	0.0
53:23.1     	09:49:52.4         	---      	---                 	---                   	---          	---         	---
53:25.2     	09:49:54.5         	---      	---                 	---                   	---          	---         	---
53:30.0     	09:49:59.3         	16171.1  	-30.6               	6.0                   	76.31527     	10.0764     	15664.2
53:31.2     	09:50:00.5         	16111.2  	-30.2               	4.6                   	76.31535     	10.0764     	15604.1
53:32.1     	09:50:01.4         	---      	---                 	---                   	---          	---         	---
